PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-1.289598,1.463974,0.4006879,0.1250794,-0.1293456,0.01797669,0.983515
-1.290035,1.464097,0.401022,0.1239484,-0.1288709,0.01786527,0.9837225
-1.28987,1.464254,0.4011959,0.1235539,-0.128247,0.01726119,0.9838644
-1.289528,1.464142,0.4011064,0.1244131,-0.1281573,0.01757177,0.9837623
-1.288775,1.464526,0.4011062,0.1234487,-0.1281335,0.01658944,0.9839039
-1.287783,1.465072,0.401301,0.1224174,-0.1271186,0.01443788,0.9841983
-1.285408,1.465614,0.4021509,0.1220942,-0.123473,0.01546443,0.9846869
-1.285408,1.465614,0.4021509,0.1220942,-0.123473,0.01546443,0.9846869
-1.284063,1.466227,0.402628,0.1208274,-0.1222581,0.01381553,0.9850192
-1.282995,1.466401,0.4031283,0.1207569,-0.1214795,0.01252218,0.9851415
-1.281433,1.466545,0.4033749,0.1208651,-0.1202485,0.01089371,0.9852986
-1.279519,1.466954,0.4036801,0.1205529,-0.1181887,0.009405755,0.9856014
-1.276642,1.467347,0.4041683,0.1206529,-0.1155782,0.00935253,0.9858992
-1.27344,1.468017,0.4046468,0.1206446,-0.1124403,0.007791491,0.9862765
-1.269715,1.468966,0.405291,0.1191836,-0.1079238,0.005713882,0.9869727
-1.264824,1.470214,0.4059367,0.1171095,-0.1002922,0.00561258,0.988026
-1.259204,1.47162,0.4063258,0.1146793,-0.09391698,0.004732488,0.9889418
-1.252949,1.472705,0.4063674,0.113002,-0.08547127,0.001704619,0.9899102
-1.246425,1.473707,0.4062801,0.1117781,-0.07846349,0.0001220703,0.9906307
-1.239799,1.474881,0.4059845,0.1102806,-0.06959635,-0.00300005,0.9914563
-1.232154,1.476439,0.4051567,0.1080953,-0.06038114,-0.005311111,0.992291
-1.214791,1.480364,0.4024149,0.1020734,-0.0417534,-0.01044112,0.9938454
-1.204224,1.482704,0.4006985,0.09779447,-0.02969572,-0.01149731,0.994697
-1.204224,1.482704,0.4006985,0.09779447,-0.02969572,-0.01149731,0.994697
-1.180085,1.486806,0.3968504,0.08989772,0.001902888,-0.01254358,0.9958702
-1.180085,1.486806,0.3968504,0.08989772,0.001902888,-0.01254358,0.9958702
-1.150331,1.490863,0.3908599,0.08195946,0.03789767,-0.01689958,0.9957715
-1.134922,1.491805,0.3870625,0.08246633,0.0590327,-0.02029343,0.994637
-1.118376,1.49196,0.3813323,0.101101,0.07997078,-0.02318404,0.9913858
-1.101619,1.490585,0.3747375,0.1220513,0.1020322,-0.02720087,0.9868906
-1.084581,1.490332,0.3679061,0.1389877,0.1223163,-0.03023675,0.9822459
-1.067071,1.491509,0.3609962,0.1434244,0.1450263,-0.03294632,0.9784229
-1.049336,1.493876,0.3544526,0.1410596,0.1677252,-0.03726865,0.9749777
-1.031291,1.49728,0.3477782,0.133605,0.1905799,-0.04246696,0.9716098
-1.013968,1.501062,0.3416025,0.1247905,0.2099121,-0.04668755,0.9685993
-0.9968855,1.504325,0.3354546,0.1169588,0.2277587,-0.05114848,0.9653137
-0.980022,1.506757,0.3285654,0.1133964,0.2475556,-0.05234127,0.9607902
-0.9634547,1.508685,0.3222481,0.1103794,0.2667487,-0.0524411,0.9559872
-0.9470012,1.510205,0.3155445,0.1085556,0.2888987,-0.05370095,0.949668
-0.9163356,1.512892,0.3028654,0.103452,0.3244502,-0.05641604,0.9385346
-0.9163356,1.512892,0.3028654,0.103452,0.3244502,-0.05641604,0.9385346
-0.9016669,1.513978,0.2970749,0.1011026,0.3390668,-0.05616601,0.9336259
-0.8881497,1.515235,0.2918234,0.09644691,0.3544497,-0.05689433,0.9283461
-0.8751655,1.516451,0.286528,0.09311997,0.3705727,-0.05479924,0.9224975
-0.8622751,1.517531,0.2809519,0.08630466,0.3842727,-0.05807032,0.9173406
-0.84902,1.519317,0.2750196,0.08235097,0.4042033,-0.05934362,0.9090194
-0.8375604,1.518357,0.2689528,0.08833658,0.4192863,-0.0583302,0.9016614
-0.8270425,1.515244,0.2631295,0.1062166,0.4297866,-0.06657859,0.8941861
-0.8167286,1.515019,0.256684,0.1073441,0.4437882,-0.07347082,0.8866405
-0.8068358,1.514967,0.2512913,0.09880293,0.4601501,-0.06613981,0.879844
-0.7978723,1.514342,0.2462927,0.09838405,0.4666786,-0.06297208,0.8766791
-0.7888486,1.514151,0.2413135,0.09508055,0.4759222,-0.0627775,0.8720762
-0.7807306,1.515162,0.2365007,0.09110993,0.4877943,-0.0608836,0.8660536
-0.7723582,1.516891,0.2320833,0.08674872,0.4957859,-0.05641801,0.8622575
-0.7647724,1.518624,0.227759,0.07910603,0.5048453,-0.05184763,0.8580124
-0.7580386,1.520485,0.2234823,0.07268737,0.5103826,-0.04652649,0.8556059
-0.7440077,1.525083,0.2170612,0.05479217,0.5246764,-0.03951101,0.8486174
-0.7378497,1.527419,0.2140452,0.04837544,0.5334603,-0.03724945,0.8436187
-0.7319405,1.530033,0.2120347,0.04047804,0.5412147,-0.03542143,0.8391623
-0.7255911,1.532861,0.211077,0.03131978,0.5466509,-0.03471414,0.8360543
-0.7191923,1.534787,0.2103243,0.02385514,0.5525827,-0.03294734,0.8324649
-0.7128204,1.536755,0.2098647,0.01814952,0.5612375,-0.03100201,0.8268749
-0.7067279,1.538084,0.2101518,0.01512736,0.5685967,-0.03002806,0.8219291
-0.7006401,1.538662,0.2106859,0.01362547,0.5765215,-0.03050219,0.8163988
-0.6944025,1.538842,0.211575,0.01521429,0.5832933,-0.02816467,0.8116306
-0.6885676,1.539178,0.2131021,0.01365497,0.5882951,-0.02868445,0.8080221
-0.6839135,1.539418,0.2146808,0.01113553,0.5934933,-0.02939196,0.804225
