PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-1.36504,1.578593,0.3180161,0.01139185,-0.3723844,-0.006908576,0.927983
-1.36515,1.578664,0.3187143,0.01113386,-0.3717991,-0.007713646,0.9282144
-1.364992,1.578668,0.3190242,0.01166395,-0.372008,-0.007082183,0.9281292
-1.364549,1.578885,0.3190674,0.01287191,-0.3733598,-0.006813011,0.9275723
-1.363779,1.579494,0.3192703,0.01342107,-0.3745617,-0.006573687,0.9270815
-1.362444,1.580439,0.3197433,0.01309457,-0.3750114,-0.006782321,0.9269029
-1.360608,1.581533,0.3202533,0.01318529,-0.3745451,-0.007261901,0.9270865
-1.358465,1.582756,0.3210214,0.01256079,-0.373462,-0.007372885,0.9275311
-1.35576,1.58406,0.3213151,0.01361618,-0.3734774,-0.007837257,0.9275062
-1.352236,1.585693,0.3214769,0.01431453,-0.3745175,-0.008641164,0.9270691
-1.347967,1.587494,0.3216224,0.01322591,-0.3761465,-0.008696171,0.926425
-1.336613,1.591536,0.322829,0.01158318,-0.3747593,-0.01202501,0.9269718
-1.329861,1.593318,0.3233285,0.01096868,-0.3745847,-0.01312015,0.927035
-1.322499,1.59488,0.3237225,0.01084779,-0.3747379,-0.01426657,0.9269575
-1.314393,1.596868,0.3238906,0.009845408,-0.374453,-0.01545383,0.9270648
-1.305762,1.598785,0.3237488,0.009109587,-0.374654,-0.01586022,0.9269843
-1.296511,1.600545,0.3234133,0.008666992,-0.3745388,-0.01649034,0.9270241
-1.286723,1.602319,0.3229907,0.007404146,-0.3754007,-0.01489908,0.9267133
-1.276489,1.604016,0.3221225,0.006747077,-0.3774977,-0.01502854,0.925864
-1.265454,1.605694,0.3211986,0.005960232,-0.3794371,-0.01521821,0.9250731
-1.253822,1.607607,0.3199931,0.004716719,-0.3814009,-0.01561117,0.9242659
-1.241612,1.609621,0.3188342,0.003145532,-0.3832638,-0.01659618,0.9234845
-1.228847,1.611612,0.3177381,0.001855308,-0.3855402,-0.01789694,0.9225156
-1.215384,1.613718,0.3164385,0.0006686067,-0.3872881,-0.01981378,0.9217455
-1.201653,1.615652,0.3153818,-0.000422864,-0.3895569,-0.02048237,0.9207745
-1.187597,1.616656,0.3141662,0.0003860202,-0.3916105,-0.02119247,0.9198869
-1.173342,1.617246,0.3132273,0.002335343,-0.3924321,-0.02062663,0.9195467
-1.144917,1.618119,0.3110229,0.006024884,-0.3933811,-0.02085867,0.9191191
-1.131234,1.619341,0.3103284,0.003807733,-0.3950408,-0.02267848,0.9183757
