PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-1.334637,1.575529,0.3964814,0.1196752,-0.1304988,-0.007018778,0.9841741
-1.333556,1.575479,0.3962077,0.1202753,-0.1277925,-0.007619378,0.9844516
-1.332534,1.575064,0.395278,0.1209467,-0.125722,-0.007691398,0.9846354
-1.333404,1.574987,0.3948477,0.1216701,-0.1242405,-0.008948678,0.9847237
-1.333163,1.575144,0.3939388,0.1228708,-0.1222847,-0.009951539,0.9848098
-1.331755,1.575518,0.393105,0.1231816,-0.1178049,-0.01007062,0.9853156
-1.327668,1.576692,0.3923537,0.1232778,-0.1119499,-0.009852973,0.9859882
-1.322545,1.578009,0.3917601,0.1235515,-0.1045209,-0.01056666,0.9867617
-1.317457,1.579268,0.3910293,0.1240762,-0.09663382,-0.01092444,0.9874957
-1.312128,1.580749,0.3897739,0.1252143,-0.08764096,-0.01042898,0.9881962
-1.306024,1.582133,0.3883582,0.1265059,-0.07802165,-0.009980695,0.9888424
-1.292644,1.58511,0.3837239,0.1285336,-0.05870554,-0.009846165,0.9899171
-1.292644,1.58511,0.3837239,0.1285336,-0.05870554,-0.009846165,0.9899171
-1.284766,1.587246,0.3809718,0.1282511,-0.04695155,-0.007307925,0.9906027
-1.277444,1.589787,0.3773833,0.1271111,-0.03691169,-0.006108397,0.9911826
-1.269984,1.592271,0.3731282,0.1262215,-0.02756195,-0.005675941,0.9916029
-1.262625,1.594946,0.3683011,0.1238679,-0.01916854,-0.005945213,0.9920958
-1.255747,1.59812,0.3629192,0.1221906,-0.01263649,-0.008504719,0.9923897
-1.249087,1.601247,0.3573087,0.1196965,-0.007746418,-0.01140623,0.9927148
-1.242762,1.603804,0.3520474,0.1170329,-0.002042627,-0.01310423,0.9930395
-1.235752,1.606001,0.3468368,0.1146963,0.003672268,-0.01481885,0.9932833
-1.228838,1.607835,0.3415971,0.1124605,0.01075328,-0.01874326,0.9934212
-1.221398,1.609557,0.3364589,0.1115157,0.01877226,-0.01801809,0.993422
-1.21408,1.610972,0.3315147,0.1103439,0.02540999,-0.01892208,0.9933884
-1.206918,1.61193,0.3270423,0.1089984,0.03265718,-0.02163195,0.9932699
-1.199659,1.613139,0.3224269,0.1080543,0.04041597,-0.02369831,0.9930404
-1.191582,1.614216,0.3178133,0.1070608,0.04911673,-0.02580423,0.9927032
-1.183575,1.615088,0.3134558,0.1060218,0.05763917,-0.02751054,0.9923106
-1.175553,1.616055,0.3089359,0.1039593,0.06733625,-0.03051147,0.9918303
-1.168185,1.617258,0.304927,0.1030987,0.07611229,-0.03146361,0.9912556
-1.160907,1.617898,0.3006622,0.1021753,0.08336348,-0.03163176,0.9907624
-1.154248,1.618595,0.2969233,0.1017432,0.09117517,-0.03282307,0.9900798
-1.147843,1.619267,0.2930501,0.1009139,0.0974079,-0.03170234,0.9896075
-1.141746,1.619383,0.2895698,0.1005462,0.1037745,-0.02850466,0.989095
-1.130007,1.620371,0.2827337,0.102672,0.1133817,-0.02608766,0.9878879
-1.130007,1.620371,0.2827337,0.102672,0.1133817,-0.02608766,0.9878879
-1.119714,1.621323,0.2764124,0.1002743,0.1213074,-0.02824787,0.987133
-1.11486,1.621813,0.2734856,0.1007933,0.1258492,-0.02778863,0.9865245
-1.109739,1.621549,0.2705154,0.1004599,0.1314902,-0.03119177,0.9857207
-1.10591,1.62186,0.2674703,0.09932023,0.1328948,-0.03494027,0.985522
-1.101565,1.622172,0.2645716,0.09763435,0.1382435,-0.03413759,0.9849827
