PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-1.203866,1.275169,0.4296898,-0.001291871,-0.4397802,0.02166052,0.8978433
-1.20393,1.275015,0.4293036,-0.002629475,-0.438812,0.02160127,0.8983154
-1.204013,1.274726,0.4291861,-0.0005854287,-0.4389892,0.02188942,0.8982255
-1.203773,1.274956,0.4288504,0.0008188725,-0.4391394,0.02055245,0.8981835
-1.203537,1.274963,0.4283357,0.0008097229,-0.4395885,0.02076918,0.8979588
-1.203483,1.275525,0.4279906,0.002357569,-0.4392865,0.02050745,0.8981099
-1.203519,1.276214,0.4272445,0.001898968,-0.4388888,0.02089151,0.8982965
-1.20296,1.277032,0.4264545,0.001397159,-0.437536,0.02098509,0.8989549
-1.202196,1.279732,0.4247324,-0.0007425248,-0.4356065,0.02097657,0.8998925
-1.202044,1.280411,0.4238656,-0.001407783,-0.4353195,0.02205017,0.9000049
-1.202044,1.280411,0.4238656,-0.001407783,-0.4353195,0.02205017,0.9000049
-1.201632,1.281421,0.4232043,-0.002338531,-0.4339641,0.02120618,0.9006775
-1.201661,1.282274,0.4223968,-0.0004727763,-0.4333443,0.02077456,0.9009888
-1.201567,1.282958,0.4209853,-0.002504674,-0.4327078,0.0210878,0.9012841
-1.201339,1.284134,0.4198852,-0.001956936,-0.4318123,0.02106801,0.9017153
-1.200782,1.285001,0.4184318,-0.002937307,-0.4322237,0.02045579,0.9015296
-1.200755,1.28686,0.4156834,-0.003343033,-0.4315741,0.02092144,0.9018287
-1.200755,1.28686,0.4156834,-0.003343033,-0.4315741,0.02092144,0.9018287
-1.200107,1.288499,0.4124399,-0.005031608,-0.4321641,0.01916037,0.9015774
-1.200207,1.289074,0.4107447,-0.005299876,-0.4322825,0.02123918,0.9014725
-1.20014,1.289626,0.4092419,-0.004141405,-0.4336637,0.01896416,0.9008657
-1.200162,1.290123,0.4068696,-0.005587302,-0.4334296,0.02031472,0.9009411
-1.200326,1.290496,0.4052038,-0.004661104,-0.4341156,0.02030408,0.9006163
-1.199915,1.291013,0.4034505,-0.004125182,-0.4341997,0.01975051,0.9005907
-1.200118,1.291963,0.4002045,-0.002721374,-0.4346802,0.01903005,0.9003797
-1.200118,1.291963,0.4002045,-0.002721374,-0.4346802,0.01903005,0.9003797
-1.199658,1.292409,0.3984077,-0.00323659,-0.4341984,0.01961309,0.9005979
-1.19955,1.293095,0.3969076,-0.002839283,-0.435075,0.01935074,0.9001818
-1.19923,1.294051,0.3951384,-0.001256791,-0.436359,0.01781223,0.8995954
-1.198657,1.294996,0.3931795,-0.001972106,-0.4363496,0.01670759,0.8996199
-1.19794,1.296539,0.3900369,-0.002893865,-0.436777,0.0158353,0.8994258
-1.196796,1.297229,0.3882836,-0.004608053,-0.4359439,0.01483292,0.8998398
-1.196802,1.298128,0.3870911,-0.00262664,-0.4357884,0.01358276,0.8999428
-1.196126,1.298724,0.3852502,-0.0015344,-0.4374493,0.01206954,0.8991607
-1.196276,1.299199,0.3835542,-0.00176475,-0.436554,0.01410586,0.8995658
-1.195888,1.299885,0.3819368,0.0005854287,-0.4372709,0.01222472,0.8992466
-1.195438,1.30105,0.3799962,-0.002354407,-0.435988,0.01223508,0.8998663
-1.195062,1.302276,0.3783764,-0.001112113,-0.4365196,0.01128012,0.8996233
-1.194385,1.30371,0.3762299,-0.0035295,-0.4358467,0.01127946,0.8999434
-1.193429,1.304804,0.3744532,-0.005332112,-0.4356141,0.01085397,0.9000523
-1.193406,1.305444,0.3734049,-0.004072468,-0.4353532,0.01160439,0.9001758
-1.192725,1.306328,0.3718825,-0.004033865,-0.4347198,0.009818885,0.9005032
-1.191846,1.307867,0.3684352,-0.005221985,-0.432224,0.01090738,0.9016852
-1.191501,1.309163,0.3669432,-0.005041962,-0.4320978,0.009346155,0.9017642
-1.190638,1.309927,0.3656441,-0.00611571,-0.4302672,0.008900257,0.902637
-1.190177,1.310802,0.3638494,-0.004441749,-0.4295004,0.009277344,0.9030081
-1.189641,1.311708,0.3620201,-0.005312514,-0.4276948,0.009274131,0.90386
-1.189186,1.312644,0.3602959,-0.005568601,-0.4275222,0.008689314,0.9039459
-1.188402,1.313565,0.3584223,-0.005193371,-0.4251545,0.008746575,0.9050637
-1.188442,1.313903,0.3564599,-0.006376932,-0.423862,0.008649782,0.905663
-1.188014,1.314558,0.3551205,-0.004760742,-0.4226992,0.007551605,0.9062261
-1.187619,1.314928,0.3531643,-0.004202127,-0.4219843,0.007674913,0.9065609
-1.187804,1.315396,0.3514599,-0.003664144,-0.4209682,0.008003755,0.9070327
-1.187688,1.315858,0.3489657,-0.004092542,-0.4212927,0.006521343,0.9068921
-1.187588,1.316271,0.3468709,-0.006483531,-0.4190164,0.008874268,0.9079121
-1.187342,1.316105,0.3453774,-0.008041831,-0.4163464,0.009151204,0.9091244
-1.187738,1.315931,0.3445534,-0.003596416,-0.4161316,0.008206902,0.9092603
-1.187715,1.315933,0.3419178,-0.003347488,-0.4115777,0.009774776,0.9113161
-1.187737,1.316223,0.3402984,-0.002107261,-0.4112951,0.0111706,0.9114313
-1.187584,1.316712,0.3384964,-0.0015344,-0.4093291,0.01199275,0.9123067
-1.187096,1.316707,0.3357802,-0.006197999,-0.4066486,0.0124715,0.9134785
-1.186809,1.316937,0.333929,-0.00493593,-0.4065512,0.01322366,0.913519
-1.18615,1.317352,0.3320979,-0.004207443,-0.4044164,0.01430047,0.9144535
-1.185995,1.31746,0.330673,-0.004162938,-0.4041345,0.01429995,0.9145783
-1.185346,1.317869,0.3282641,-0.001600937,-0.4048605,0.01352834,0.914277
-1.184916,1.318166,0.3252371,-0.004841438,-0.402359,0.01422263,0.9153587
-1.185295,1.318521,0.3229625,-0.006425817,-0.4006186,0.01628392,0.9160777
-1.184791,1.318731,0.320523,-0.005224837,-0.4007876,0.01517408,0.9160305
-1.184667,1.318799,0.3175939,-0.00835803,-0.3993303,0.01747014,0.9166026
-1.184325,1.318716,0.3162499,-0.005674629,-0.398525,0.01650028,0.9169915
-1.183314,1.31877,0.3142459,-0.006617742,-0.3964852,0.01524902,0.9178906
-1.182396,1.319097,0.3116146,-0.007097946,-0.3960369,0.01504043,0.918084
-1.182225,1.318678,0.3096402,-0.008030706,-0.3932384,0.01577874,0.9192661
-1.181946,1.318139,0.3080062,-0.006451275,-0.3920694,0.01491707,0.9197921
-1.179121,1.317981,0.3029922,-0.005455054,-0.3869177,0.01589775,0.9219611
-1.178176,1.317834,0.3014097,-0.006528195,-0.3846112,0.0151377,0.9229314
-1.178176,1.317834,0.3014097,-0.006528195,-0.3846112,0.0151377,0.9229314
-1.177335,1.317821,0.2996818,-0.006013744,-0.3830602,0.01645415,0.9235573
-1.17647,1.31768,0.2979008,-0.005470058,-0.3798513,0.01764074,0.9248632
-1.175025,1.317727,0.296284,-0.006086402,-0.3788193,0.01709682,0.9252927
-1.174078,1.317618,0.2944224,-0.006677146,-0.3768408,0.0177435,0.926084
-1.172818,1.317481,0.2929337,-0.00486753,-0.3754097,0.01790152,0.9266733
-1.170693,1.316957,0.2895005,-0.005764511,-0.3713093,0.01828204,0.9283113
-1.169015,1.316838,0.2877074,-0.007720404,-0.3685904,0.0172806,0.9293992
-1.167581,1.316284,0.2866672,-0.007220746,-0.3665736,0.01791109,0.9301887
-1.166454,1.316211,0.2851429,-0.005361375,-0.3661664,0.01596603,0.930397
-1.165454,1.316146,0.2836823,-0.007129366,-0.3618137,0.01722836,0.9320639
-1.164266,1.316056,0.2825158,-0.006175117,-0.3612595,0.01712251,0.9322876
-1.163279,1.316202,0.2808313,-0.006865302,-0.3594961,0.01652915,0.9329749
-1.16218,1.316286,0.2795329,-0.00744729,-0.3570529,0.01698752,0.9339
-1.160759,1.316502,0.2788352,-0.00552562,-0.3572125,0.01594548,0.9338707
-1.159485,1.316408,0.2779725,-0.004928377,-0.3557282,0.01503002,0.9344556
-1.15849,1.316122,0.2764729,-0.006212408,-0.3527606,0.01622571,0.9355523
-1.157202,1.316054,0.2754842,-0.005290026,-0.3505319,0.01715859,0.9363787
-1.15612,1.315758,0.2744611,-0.005369707,-0.3486711,0.0175514,0.9370654
-1.154696,1.315288,0.2736241,-0.00560062,-0.3460502,0.01877543,0.9380114
-1.152504,1.314164,0.2723581,-0.003898613,-0.3420137,0.01894805,0.9394959
-1.151506,1.313667,0.2715175,-0.003963057,-0.3394579,0.01985961,0.9404032
-1.150525,1.312719,0.2711723,-0.003463443,-0.3369019,0.02103899,0.9412983
-1.149546,1.312171,0.2709919,-0.0004401308,-0.3353825,0.02075806,0.9418532
-1.148264,1.312216,0.2699761,-0.001413066,-0.333494,0.02027543,0.9425331
-1.147213,1.312243,0.2689638,-0.001423572,-0.3317259,0.0217881,0.9431232
-1.146053,1.311945,0.2681637,-0.0007425247,-0.3306357,0.02072717,0.9435306
-1.145081,1.31189,0.2671711,-0.002967589,-0.327469,0.0215961,0.9446104
-1.144533,1.311733,0.2666565,-0.001256791,-0.3263219,0.02066489,0.9450319
-1.143858,1.311575,0.2657607,-0.001337213,-0.3252033,0.0211988,0.9454055
-1.142274,1.311344,0.2635934,-0.001514853,-0.3223464,0.02218995,0.9463605
-1.141603,1.31125,0.2628565,-0.002035319,-0.3198075,0.02198689,0.9472252
-1.140818,1.311521,0.2618818,-0.0001726335,-0.3198717,0.02111993,0.9472255
-1.140005,1.311888,0.2601795,-0.003428851,-0.3181078,0.02226202,0.9477869
-1.139526,1.311685,0.2592027,-0.003716635,-0.316879,0.02192003,0.9482054
-1.139418,1.311793,0.2585629,-0.002131867,-0.3167706,0.02176655,0.9482501
-1.138922,1.311638,0.257733,-0.002786307,-0.3150237,0.02317311,0.9487968
-1.137539,1.312057,0.2567517,-0.005203404,-0.313244,0.02206841,0.949402
-1.137038,1.312087,0.2567652,-0.003365246,-0.3122429,0.02233787,0.9497337
-1.136248,1.312378,0.2559792,-0.003461291,-0.310672,0.0223945,0.950247
-1.135601,1.312434,0.255253,-0.004009782,-0.3082694,0.02243272,0.9510261
-1.134696,1.312351,0.2550025,-0.004612901,-0.3061723,0.02310388,0.9516846
-1.132701,1.311548,0.2547141,-0.002646421,-0.3022813,0.02466727,0.9528959
-1.131937,1.311219,0.2546437,-0.001814706,-0.2997733,0.02538623,0.953671
-1.130752,1.311514,0.2544623,-0.0001726335,-0.300016,0.02347435,0.9536453
-1.12985,1.311702,0.254327,0.003218122,-0.298977,0.02359938,0.953963
-1.128021,1.311851,0.2536354,-0.0006224389,-0.294605,0.02482563,0.9552964
-1.126508,1.312279,0.2540617,0.001238878,-0.2935583,0.02391987,0.955641
-1.125584,1.312356,0.2543302,0.003143162,-0.2925828,0.0233199,0.9559506
-1.125089,1.312392,0.255082,0.00378024,-0.2903112,0.0259941,0.9565717
-1.123994,1.312961,0.2555631,0.005105108,-0.2891928,0.02583194,0.9569087
-1.123046,1.313822,0.255654,0.005106568,-0.2873916,0.02648448,0.9574333
-1.120577,1.315463,0.2565733,0.004884338,-0.2845438,0.02712846,0.9582667
-1.119306,1.316586,0.2565403,0.001895041,-0.2821679,0.02753734,0.9589679
-1.117971,1.317235,0.2572603,0.002751325,-0.2811911,0.0267203,0.9592758
-1.116791,1.31794,0.2578241,0.00351045,-0.2792997,0.02769382,0.9597981
-1.115273,1.318443,0.2581519,0.0035295,-0.2785879,0.02650585,0.9600384
-1.113882,1.319065,0.2583145,0.003385114,-0.2764758,0.02853758,0.9605911
-1.11221,1.319802,0.2581531,0.003552645,-0.2762609,0.02855846,0.9606517
-1.110243,1.320471,0.2583373,0.002875786,-0.2755851,0.02746962,0.9608798
-1.108967,1.320752,0.2590123,0.003133666,-0.273815,0.02875294,0.9613474
-1.107223,1.320982,0.259791,0.005359985,-0.2733863,0.02754519,0.9614949
-1.10577,1.321178,0.2604325,0.005597959,-0.2721095,0.02796103,0.9618437
-1.102811,1.321322,0.261483,0.004534711,-0.2685223,0.02959897,0.962808
-1.100502,1.321745,0.2622315,0.007063221,-0.2693836,0.02850022,0.9625852
-1.098369,1.322513,0.2623302,0.004700896,-0.2672208,0.02740553,0.9632341
-1.095983,1.322675,0.2623779,0.003497693,-0.2655385,0.02828952,0.9636788
-1.093776,1.323284,0.2629415,0.002847144,-0.265365,0.02741505,0.9637539
-1.091579,1.323776,0.2634068,0.001651337,-0.2637448,0.02707843,0.9642109
-1.089581,1.32419,0.2643175,0.001539248,-0.262628,0.02681799,0.9645232
-1.08711,1.324414,0.2649314,0.00241995,-0.2613658,0.02694493,0.9648607
-1.084513,1.32477,0.2656004,0.001835119,-0.2595809,0.02668123,0.965351
-1.081763,1.325566,0.2662811,0.003404865,-0.2578689,0.02666615,0.9658059
-1.079036,1.326614,0.2667264,0.004085254,-0.2570439,0.02602704,0.9660406
-1.075888,1.327607,0.2670438,0.0015344,-0.2555199,0.0247926,0.9664847
-1.073174,1.328396,0.2672694,0.0005320922,-0.2536416,0.02595796,0.9669498
-1.066497,1.32997,0.2683772,0,-0.2503158,0.02411808,0.9678639
-1.062905,1.330498,0.2692621,0.0005179005,-0.2484341,0.0227418,0.9683816
-1.05946,1.331581,0.2698365,0,-0.2473263,0.02282747,0.9686633
-1.052349,1.332489,0.2709088,-0.001485049,-0.2456665,0.02044158,0.9691377
-1.049722,1.332406,0.2714446,-0.002447502,-0.2433434,0.02122971,0.9697047
-1.049722,1.332406,0.2714446,-0.002447502,-0.2433434,0.02122971,0.9697047
-1.047206,1.332166,0.2720926,0.0002441407,-0.2438076,0.02015159,0.9696143
-1.042465,1.331955,0.2722497,0.0005725605,-0.2410964,0.02256353,0.9702387
-1.039802,1.332467,0.272842,0.001926237,-0.2403262,0.02257575,0.9704278
-1.036615,1.332872,0.2729436,0.001177203,-0.2372185,0.02227808,0.9712001
-1.033519,1.33379,0.273483,0.001810595,-0.2362065,0.02246094,0.9714416
-1.030925,1.334158,0.2736098,0.001704619,-0.2335546,0.02237619,0.9720847
-1.028662,1.333867,0.2735161,0.0005854287,-0.2307074,0.02431468,0.9727191
-1.026279,1.333938,0.2738773,0.003071227,-0.2298557,0.02327577,0.9729415
-1.02409,1.333826,0.2733541,0.001084985,-0.2277987,0.02544427,0.9733751
-1.021801,1.333829,0.2738968,0.002413784,-0.2263763,0.02688902,0.9736657
-1.016876,1.33433,0.2733972,0.001704619,-0.2220862,0.02624001,0.9746724
-1.014197,1.334977,0.2733502,0.002618117,-0.2209102,0.02466545,0.9749787
-1.011983,1.335644,0.2727949,0.001910703,-0.219063,0.02518231,0.9753839
-1.009736,1.336254,0.2725775,-0.0001220703,-0.215782,0.0260908,0.9760929
-1.006953,1.336811,0.2722673,0.001839175,-0.214481,0.0260788,0.9763782
-1.004314,1.337505,0.2717288,0.001847259,-0.2128309,0.02529508,0.9767599
-1.001886,1.33755,0.2709114,-0.0009689031,-0.2094322,0.02636238,0.9774672
-0.9994555,1.337784,0.2710648,0.003128908,-0.2083208,0.02676459,0.9776893
-0.9940901,1.338923,0.2696511,0.001132034,-0.2038645,0.02660965,0.9786368
